Entry	Entry name
Q9CY97	SSU72_MOUSE
P50236	ST2A2_MOUSE
Q8BGW6	ST32A_MOUSE
Q9JJX8	ST32B_MOUSE
P56677	ST14_MOUSE
O35403	ST3A1_MOUSE
Q924W7	ST5_MOUSE
Q8CI66	STML1_MOUSE
Q00262	STX2_MOUSE
Q9ER00	STX12_MOUSE
Q64704	STX3_MOUSE
Q9WV89	STXB4_MOUSE
Q99MT6	SUCR1_MOUSE
P31266	SUH_MOUSE
P06324	TVC3_MOUSE
Q8BIJ6	SYIM_MOUSE
Q1H9T6	TZAP_MOUSE
Q9Z2R6	U119A_MOUSE
E9Q9U0	U17PB_MOUSE
G5E8G2	U17PD_MOUSE
Q9D0I9	SYRC_MOUSE
Q64707	U2AFL_MOUSE
Q3U186	SYRM_MOUSE
Q6P4T2	U520_MOUSE
P0C1Z5	U730_MOUSE
P52483	UB2E3_MOUSE
P68037	UB2L3_MOUSE
Q9QZU9	UB2L6_MOUSE
Q7TSS2	UB2Q1_MOUSE
Q6ZWZ2	UB2R2_MOUSE
Q9CZY3	UB2V1_MOUSE
Q6P3B2	UBAD1_MOUSE
Q8BQH4	UBAD2_MOUSE
Q8BGR9	UBCP1_MOUSE
P0CG50	UBC_MOUSE
Q9Z255	UBE2A_MOUSE
Q9CQ37	UBE2T_MOUSE
Q3UE37	UBE2Z_MOUSE
O08759	UBE3A_MOUSE
Q9R0Q1	SYTL4_MOUSE
Q80T23	SYTL5_MOUSE
Q9R0N5	SYT5_MOUSE
Q9EQT6	SYT13_MOUSE
Q7TN84	SYT14_MOUSE
Q8K007	SULF1_MOUSE
Q9D666	SUN1_MOUSE
Q9Z0P7	SUFU_MOUSE
Q8CH09	SUGP2_MOUSE
Q91YD4	TRPM2_MOUSE
Q923J1	TRPM7_MOUSE
Q925H1	TRPS1_MOUSE
Q8K3A2	TRPT1_MOUSE
Q9WTR1	TRPV2_MOUSE
Q9EPK8	TRPV4_MOUSE
Q91WD2	TRPV6_MOUSE
Q8BHS8	SYBU_MOUSE
Q9ER72	SYCC_MOUSE
Q9D495	SYCE1_MOUSE
Q505B8	SYCE2_MOUSE
Q9DBZ9	SYDE1_MOUSE
Q99MD6	TRXR3_MOUSE
P06323	TVA3_MOUSE
Q9EP52	TWSG1_MOUSE
Q9D5S1	TX19B_MOUSE
Q8VDC0	SYLM_MOUSE
P42682	TXK_MOUSE
P83877	TXN4A_MOUSE
Q8BJ37	TYDP1_MOUSE
Q9R117	TYK2_MOUSE
Q99N42	TYPH_MOUSE
P55144	TYRO3_MOUSE
P11344	TYRO_MOUSE
Q9DBA6	TYSD1_MOUSE
Q9EPM5	SYNCI_MOUSE
Q9D2G5	SYNJ2_MOUSE
Q8CC35	SYNPO_MOUSE
Q8BGN8	SYNPR_MOUSE
Q7TMI3	UHRF2_MOUSE
Q3U3Q1	ULK3_MOUSE
Q3U3D7	T131L_MOUSE
Q9R1Q6	T176B_MOUSE
Q76HP3	T132D_MOUSE
Q99LZ3	SLD5_MOUSE
Q6P9P0	SLF2_MOUSE
Q6UJY2	SL9C1_MOUSE
Q8BHK6	SLAF7_MOUSE
G3X939	SL9A3_MOUSE
P97454	SMAD5_MOUSE
A7TZF0	SKIT3_MOUSE
Q810B9	SLIK3_MOUSE
O54988	SLK_MOUSE
Q78PY7	SND1_MOUSE
Q8BUN5	SMAD3_MOUSE
A2A5Z6	SMUF2_MOUSE
Q6PE01	SNR40_MOUSE
Q8BIZ6	SNIP1_MOUSE
Q8BP86	SNPC4_MOUSE
Q6P9Z1	SMRD3_MOUSE
Q91ZR2	SNX18_MOUSE
Q9JJ78	TOPK_MOUSE
Q9JJL3	SO1B2_MOUSE
Q9ERB5	SO1C1_MOUSE
Q9CWK8	SNX2_MOUSE
Q8BXB6	SO2B1_MOUSE
Q8R3L5	SO3A1_MOUSE
Q8BGD4	SO4C1_MOUSE
Q9ER38	TOR3A_MOUSE
O35718	SOCS3_MOUSE
Q9DCF9	SSRG_MOUSE
P54116	STOM_MOUSE
Q8CDJ8	STON1_MOUSE
Q9CWR7	STEA1_MOUSE
P55821	STMN2_MOUSE
Q9D939	ST1C2_MOUSE
Q8BWB6	STEA2_MOUSE
Q3UZZ6	ST1D1_MOUSE
O08599	STXB1_MOUSE
Q8VDS8	STX18_MOUSE
P63166	SUMO1_MOUSE
Q8R086	SUOX_MOUSE
P70279	SURF6_MOUSE
P09925	SURF1_MOUSE
P09926	SURF2_MOUSE
Q9D176	SUSD3_MOUSE
Q8BH32	SUSD4_MOUSE
Q99LQ4	SVBP_MOUSE
Q8K4L3	SVIL_MOUSE
Q3UZP4	SVIP_MOUSE
P18419	SVS4_MOUSE
Q8VCI7	SWAP1_MOUSE
Q9CXK4	SWET1_MOUSE
Q6A028	SWP70_MOUSE
Q9D5V6	SYAP1_MOUSE
Q9D3G5	STX11_MOUSE
Q8BJS4	SUN2_MOUSE
Q9DA32	SUN5_MOUSE
Q8BGV4	TTI2_MOUSE
A4Q9F3	TTL10_MOUSE
Q3UDE2	TTL12_MOUSE
Q91V51	TTLL1_MOUSE
A4Q9F0	TTLL7_MOUSE
P38585	TTL_MOUSE
Q8C5C9	TTMP_MOUSE
Q99KK9	SYHM_MOUSE
Q3TH73	TTYH2_MOUSE
P50586	TUB_MOUSE
O08970	TUFT1_MOUSE
Q9Z273	TULP1_MOUSE
P46686	TULP2_MOUSE
O88413	TULP3_MOUSE
Q9JIL5	TULP4_MOUSE
P19473	TUR8_MOUSE
Q673H1	TUSC1_MOUSE
B2RX14	TUT4_MOUSE
Q5BLK4	TUT7_MOUSE
Q05BQ1	TUTLA_MOUSE
E9PZ19	TUTLB_MOUSE
Q9D8T4	TV23B_MOUSE
P01738	TVA1_MOUSE
Q8BMJ2	SYLC_MOUSE
Q8K2W3	TXD11_MOUSE
Q9CQU0	TXD12_MOUSE
Q8VBT1	TXLNB_MOUSE
Q715T0	TXND3_MOUSE
Q69AB2	TXND8_MOUSE
Q8BG60	TXNIP_MOUSE
P20065	TYB4_MOUSE
Q68FL6	SYMC_MOUSE
Q9JJX7	TYDP2_MOUSE
Q80X82	SYMPK_MOUSE
B9VGS6	B9VGS6_9GAMR
B9VGS5	B9VGS5_9GAMR
B9VGS8	B9VGS8_9GAMR
B9VGS7	B9VGS7_9GAMR
B9VGS9	B9VGS9_9GAMR
Q4L138	Q4L138_MUSMM
Q6ZYP9	Q6ZYP9_MUSMM
Q5GA75	Q5GA75_MUSMM
A0A1B1SNC1	A0A1B1SNC1_MUSMB
V5MZ81	V5MZ81_MUSMC
A8YPE4	A8YPE4_MUSMC
Q3S4B2	Q3S4B2_MUSMC
U3TJ57	U3TJ57_MUSMC
A0A140D4A6	A0A140D4A6_MUSMC
A0A140D4A9	A0A140D4A9_MUSMC
V5MZG2	V5MZG2_MUSMC
A0A140D4B1	A0A140D4B1_MUSMC
O02906	O02906_MUSMC
Q61231	Q61231_MUSMC
A5XZ78	A5XZ78_MUSMC
C3U1Q8	C3U1Q8_MUSMC
A0A2H4WRV2	A0A2H4WRV2_MUSMC
Q505R5	Q505R5_MUSMC
A0A023J6E8	A0A023J6E8_MUSMC
Q6X2C0	Q6X2C0_MUSMC
E5FDE6	E5FDE6_MOUSE
Q7TT53	Q7TT53_MUSMC
Q7TT66	Q7TT66_MUSMC
G8DYC0	G8DYC0_MUSMC
Q0QJG0	Q0QJG0_MUSMC
V5MZC1	V5MZC1_MUSMC
O35863	O35863_MUSMC
G8DYB6	G8DYB6_MUSMC
V5MZD2	V5MZD2_MUSMC
E5FDE4	E5FDE4_MOUSE
Q71EJ0	Q71EJ0_MUSMC
Q5WA16	Q5WA16_MUSMC
G8DYQ6	G8DYQ6_MUSMC
V5MZE3	V5MZE3_MUSMC
V5MZF6	V5MZF6_MUSMC
U3TI17	U3TI17_MUSMC
Q61232	Q61232_MUSMC
C3U1R8	C3U1R8_MUSMC
A0A2H4WS06	A0A2H4WS06_MUSMC
A0A0F6PYR5	A0A0F6PYR5_MOUSE
G8DYD2	G8DYD2_MUSMC
A0A023J6E5	A0A023J6E5_MUSMC
Q4VCM2	Q4VCM2_MUSMC
V5N006	V5N006_MUSMC
E2I8M9	E2I8M9_MOUSE
A0A0D6A9T8	A0A0D6A9T8_MUSMC
Q8VDD3	Q8VDD3_MUSMC
A0A2H4WRT2	A0A2H4WRT2_MUSMC
D4N6N2	D4N6N2_MUSMC
E2I8M8	E2I8M8_MOUSE
E2I8N0	E2I8N0_MOUSE
A0A023J6M5	A0A023J6M5_MUSMC
Q8VHA3	Q8VHA3_MUSMC
Q3S4B1	Q3S4B1_MUSMC
A5XZ82	A5XZ82_MUSMC
A0A023J6M1	A0A023J6M1_MUSMC
U3TI41	U3TI41_MUSMC
A0A023J607	A0A023J607_MUSMC
F8SH35	F8SH35_MUSMC
W0TX95	W0TX95_MUSMC
A8DEJ7	A8DEJ7_MUSMC
V5MZZ7	V5MZZ7_MUSMC
A0A2H4WRT0	A0A2H4WRT0_MUSMC
A0A140D4B2	A0A140D4B2_MUSMC
U3TJ68	U3TJ68_MUSMC
C5H7S3	C5H7S3_MUSMC
A0A023J687	A0A023J687_MUSMC
Q6ZYQ5	Q6ZYQ5_MUSMC
V9PVS1	V9PVS1_MUSMC
V5MZH0	V5MZH0_MUSMC
F8SGV9	F8SGV9_MUSMC
E5FDE5	E5FDE5_MOUSE
A0A023J6J3	A0A023J6J3_MUSMC
Q7TT59	Q7TT59_MUSMC
A0A2H4WS11	A0A2H4WS11_MUSMC
A0A2H4WRV7	A0A2H4WRV7_MUSMC
Q711M4	Q711M4_MUSMC
E2I8M6	E2I8M6_MOUSE
A0A023J684	A0A023J684_MUSMC
A0A140D4B0	A0A140D4B0_MUSMC
G8DY56	G8DY56_MUSMC
A0A2H4WRT3	A0A2H4WRT3_MUSMC
A0A023J6I7	A0A023J6I7_MUSMC
A0A2H4WRZ4	A0A2H4WRZ4_MUSMC
G8DYK0	G8DYK0_MUSMC
Q8VH88	Q8VH88_MUSMC
A0A0F6PZ84	A0A0F6PZ84_MOUSE
A0A140D4A7	A0A140D4A7_MUSMC
A0A023J6L2	A0A023J6L2_MUSMC
A0A023J619	A0A023J619_MUSMC
G8DYC4	G8DYC4_MUSMC
O02905	O02905_MUSMC
Q9XR35	Q9XR35_MUSMC
A0A2H4WRY3	A0A2H4WRY3_MUSMC
V5MZD7	V5MZD7_MUSMC
Q91Y76	Q91Y76_MUSMC
Q8VH73	Q8VH73_MUSMC
Q5W9W9	Q5W9W9_MUSMC
F8SHF4	F8SHF4_MUSMC
G3KJG6	G3KJG6_MUSMC
A3R462	A3R462_MUSMC
A0A0F6PXK9	A0A0F6PXK9_MOUSE
A0A1B1SNC5	A0A1B1SNC5_MUSMB
A0A1B1SNB1	A0A1B1SNB1_MUSMB
A0A1B1SNB0	A0A1B1SNB0_MUSMB
A0A1B1SN75	A0A1B1SN75_MUSMB
D2Y379	D2Y379_MUSMM
B9VU58	B9VU58_MUSMM
Q8VHA2	Q8VHA2_MUSMM
Q91Z72	Q91Z72_MUSMM
A0A1B1SNC3	A0A1B1SNC3_MUSMB
U5NG72	U5NG72_MUSMM
U5NJE8	U5NJE8_MUSMM
A0A125R9I3	A0A125R9I3_MUSMM
O02907	O02907_MUSMM
Q8VH72	Q8VH72_MUSMM
E1B2C8	E1B2C8_MUSMB
Q6X2A6	Q6X2A6_MUSMM
U5NG76	U5NG76_MUSMM
A0A060IF84	A0A060IF84_MUSMB
A0A1B1SNA4	A0A1B1SNA4_MUSMB
A0A1B1SNB5	A0A1B1SNB5_MUSMB
A0A1B1SNB9	A0A1B1SNB9_MUSMB
C3U1Q6	C3U1Q6_MUSMB
A0A1B1SNC0	A0A1B1SNC0_MUSMB
A0A1B1SND1	A0A1B1SND1_MUSMB
A0A1B1SN54	A0A1B1SN54_MUSMB
A0A1B1SNA2	A0A1B1SNA2_MUSMB
E2D874	E2D874_MUSMM
A0A0E3VL76	A0A0E3VL76_MUSMM
G3MV66	G3MV66_MUSMM
C3U1R7	C3U1R7_MUSMB
F5A4V1	F5A4V1_MUSMB
Q31105	Q31105_MUSMB
V5MZM1	V5MZM1_MUSMM
Q1PCS1	Q1PCS1_MUSMM
U5NFV2	U5NFV2_MUSMM
A0A1B1SNC4	A0A1B1SNC4_MUSMB
A0A126QCT0	A0A126QCT0_MUSMC
Q64333	Q64333_MUSMC
A0A2H4WRZ7	A0A2H4WRZ7_MUSMC
A0A023J612	A0A023J612_MUSMC
A0A023J611	A0A023J611_MUSMC
Q91Y75	Q91Y75_MUSMC
Q8R4R2	Q8R4R2_MUSMC
Q9TQL7	Q9TQL7_MUSMC
B9VQY2	B9VQY2_MUSMC
D2E439	D2E439_MUSMC
A0A023J672	A0A023J672_MUSMC
A0A023J601	A0A023J601_MUSMC
A0A023J6F1	A0A023J6F1_MUSMC
A8DEL2	A8DEL2_MUSMC
A0A060IKF0	A0A060IKF0_MUSMC
Q7TNM5	Q7TNM5_MUSMC
V5MZF1	V5MZF1_MUSMC
Q4PZC8	Q4PZC8_MUSMC
U3TEV9	U3TEV9_MOUSE
X2FKH3	X2FKH3_MUSMC
Q71RH5	Q71RH5_MUSMC
Q9XR33	Q9XR33_MUSMC
E2D6P2	E2D6P2_MUSMC
D4N6U4	D4N6U4_MUSMC
U3TEU0	U3TEU0_MUSMC
E2I8M7	E2I8M7_MOUSE
A8YPE3	A8YPE3_MUSMC
E2D872	E2D872_MUSMC
Q80UH6	Q80UH6_MUSMC
V5N1Q8	V5N1Q8_MUSMC
Q80UH5	Q80UH5_MUSMC
V5MZ86	V5MZ86_MUSMC
F5A4V2	F5A4V2_MUSMC
A0A088QCD9	A0A088QCD9_MUSMC
A0A126QCR8	A0A126QCR8_MUSMC
V5MZ90	V5MZ90_MUSMC
A0A023J6C4	A0A023J6C4_MUSMC
V5MZG7	V5MZG7_MUSMC
Q5EF20	Q5EF20_MUSMC
Q711M5	Q711M5_MUSMC
G3MV68	G3MV68_MUSMC
Q7TT68	Q7TT68_MUSMC
Q01488	Q01488_MUSMC
Q6X2A8	Q6X2A8_MUSMC
D4N6M2	D4N6M2_MUSMC
A0A2H4WS05	A0A2H4WS05_MUSMC
A8YPE2	A8YPE2_MUSMC
A0A2H4WRS8	A0A2H4WRS8_MUSMC
A0A023J610	A0A023J610_MUSMC
A0A023J6J5	A0A023J6J5_MUSMC
A0A2H4WRT7	A0A2H4WRT7_MUSMC
V5MZ70	V5MZ70_MUSMC
V5N1R8	V5N1R8_MUSMC
V5MZY5	V5MZY5_MUSMC
A0A023J604	A0A023J604_MUSMC
Q5EF21	Q5EF21_MUSMC
U3TI24	U3TI24_MUSMC
Q7TNM8	Q7TNM8_MUSMC
A0A0F6PXN8	A0A0F6PXN8_MOUSE
U5NG85	U5NG85_MUSMM
U5NJF3	U5NJF3_MUSMM
Q71RH6	Q71RH6_MUSMM
E2J848	E2J848_MUSMM
Q6X2B8	Q6X2B8_MUSMM
Q5KT56	Q5KT56_MUSMM
Q4L141	Q4L141_MUSMM
A3R4A1	A3R4A1_MUSMM
Q4L137	Q4L137_MUSMM
Q8VH87	Q8VH87_MUSMM
Q5GA74	Q5GA74_MUSMM
W0TXX7	W0TXX7_MUSMM
B2NI82	B2NI82_MUSMM
P97890	P97890_MUSMM
X2FIS1	X2FIS1_MUSMB
A3R4A0	A3R4A0_MUSMM
A0A1B1SN68	A0A1B1SN68_MUSMB
Q2L4X0	Q2L4X0_MUSMM
W0TWU8	W0TWU8_MUSMM
Q5GA83	Q5GA83_MUSMM
X2FP38	X2FP38_MUSMM
Q9XR36	Q9XR36_MUSMB
E2J849	E2J849_MUSMM
Q4L136	Q4L136_MUSMM
Q6ZYR0	Q6ZYR0_MUSMM
A3R492	A3R492_MUSMM
Q4L140	Q4L140_MUSMM
Q4L139	Q4L139_MUSMM
U5NJM4	U5NJM4_MUSMM
Q1ZZX0	Q1ZZX0_MUSMM
U5NG82	U5NG82_MUSMM
Q5W9W7	Q5W9W7_MUSMM
A0A0F6PZ10	A0A0F6PZ10_MOUSE
A0A0F6PXJ9	A0A0F6PXJ9_MOUSE
A0A0F6Q0S0	A0A0F6Q0S0_MOUSE
A0A0F6PYU6	A0A0F6PYU6_MOUSE
F6MCZ0	F6MCZ0_MOUSE
G8DXX8	G8DXX8_MOUSE
F6MAC9	F6MAC9_MOUSE
F6MC93	F6MC93_MOUSE
A3E4A9	A3E4A9_MOUSE
F6MBC8	F6MBC8_MOUSE
F6MA80	F6MA80_MOUSE
A3E4A7	A3E4A7_MOUSE
F6MBX3	F6MBX3_MOUSE
A3E4A8	A3E4A8_MOUSE
V5MZM8	V5MZM8_MOUSE
A3E4B4	A3E4B4_MOUSE
F8SH13	F8SH13_MOUSE
A0A172ETZ6	A0A172ETZ6_MOUSE
U3TI68	U3TI68_MOUSE
A0A1B1SNH7	A0A1B1SNH7_MOUSE
V9PC87	V9PC87_MOUSE
A0A0F6PYW9	A0A0F6PYW9_MOUSE
G8DYC9	G8DYC9_MUSMC
Q5W9X0	Q5W9X0_MUSMC
A3R453	A3R453_MUSMC
A0A0F6PXF3	A0A0F6PXF3_MOUSE
A0A172ETN5	A0A172ETN5_MOUSE
A0A172ETL0	A0A172ETL0_MOUSE
A0A172ETY6	A0A172ETY6_MOUSE
D0U269	D0U269_MUSMC
A0A0F6PYU7	A0A0F6PYU7_MOUSE
A0A1B1SNJ0	A0A1B1SNJ0_MOUSE
A0A0F6PXG3	A0A0F6PXG3_MOUSE
F6MB23	F6MB23_MOUSE
F6MAF7	F6MAF7_MOUSE
F6MCC9	F6MCC9_MOUSE
F6MC19	F6MC19_MOUSE
F6MBW8	F6MBW8_MOUSE
F6MAD2	F6MAD2_MOUSE
F6MCF7	F6MCF7_MOUSE
F6MAU0	F6MAU0_MOUSE
Q7TMD8	Q7TMD8_MOUSE
F6MAT6	F6MAT6_MOUSE
F6MCR1	F6MCR1_MOUSE
F8SGV5	F8SGV5_MOUSE
F6MCN0	F6MCN0_MOUSE
F6MAL1	F6MAL1_MOUSE
C1J0N3	C1J0N3_MOUSE
F6MAB0	F6MAB0_MOUSE
Q71EJ5	Q71EJ5_MOUSE
A0A023J6F3	A0A023J6F3_MOUSE
A3E4B7	A3E4B7_MOUSE
F6MCK4	F6MCK4_MOUSE
F6MAW1	F6MAW1_MOUSE
F6MAY6	F6MAY6_MOUSE
A0A023J6A9	A0A023J6A9_MOUSE
F6MAR5	F6MAR5_MOUSE
E5KXQ5	E5KXQ5_MOUSE
V9PC80	V9PC80_MOUSE
A0A1B1SNH8	A0A1B1SNH8_MOUSE
A0A0F6PYW7	A0A0F6PYW7_MOUSE
A0A023J622	A0A023J622_MUSMC
A3E4B8	A3E4B8_MOUSE
G8DY98	G8DY98_MOUSE
F6MC45	F6MC45_MOUSE
A0A023J682	A0A023J682_MOUSE
Q8W8Y4	Q8W8Y4_MUSMC
D0U270	D0U270_MUSMC
A3R456	A3R456_MUSMC
G8DYD3	G8DYD3_MUSMC
